Identifiant,Distance,Dénivelé positif,Dénivelé négatif,Difficulté,Gare départ,Gare arrivée,Retour point de depart,Lien,Lignes,Département
2557910,"11,07 km",+ 252 m,- 161 m,Moyenne,Bellevue,Versailles Château,Non,https://www.visorando.com/randonnee-de-sevres-au-chateau-de-versailles/,['TRAIN N'],92 - Hauts-de-Seine
851277,"21,53 km",+ 287 m,- 315 m,Difficile,Beynes,Vernouillet-Verneuil,Non,https://www.visorando.com/randonnee-de-beynes-a-verneuil-sur-seine-par-l-eta/,['TRAIN N'],78 - Yvelines
53326,"10,78 km",+ 92 m,- 113 m,Moyenne,Beynes,Maule,Non,https://www.visorando.com/randonnee-beynes-maule-avec-retour-en-train/,['TRAIN N'],78 - Yvelines
610233,"10,83 km",+ 112 m,- 112 m,Moyenne,Beynes,Beynes,Oui,https://www.visorando.com/randonnee-les-coteaux-de-la-mauldre/,['TRAIN N'],78 - Yvelines
53416027,"10,87 km",+ 60 m,- 60 m,Moyenne,Le Coudray-Montceaux,Le Coudray-Montceaux,Oui,https://www.visorando.com/randonnee-dans-l-ouest-de-la-foret-de-rougeau/,['RER D'],91 - Essonne
101394,"10,11 km",+ 46 m,- 54 m,Moyenne,Épinay-sur-Orge,Épinay-sur-Orge,Oui,https://www.visorando.com/randonnee-randonnee-des-trois-rivieres/,['RER C'],91 - Essonne
2524422,"14,12 km",+ 71 m,- 62 m,Moyenne,Épinay-sur-Orge,Épinay-sur-Orge,Oui,https://www.visorando.com/randonnee-la-basilique-de-longpont-et-le-pont-des-/,['RER C'],91 - Essonne
4924604,"10,44 km",+ 8 m,- 8 m,Moyenne,Cesson,Cesson,Oui,https://www.visorando.com/randonnee-la-foret-de-breviande-et-les-etangs-de-c/,['RER D'],77 - Seine-et-Marne
1928191,"9,57 km",+ 104 m,- 124 m,Moyenne,Chaville-Vélizy,Chaville Rive Gauche,Non,https://www.visorando.com/randonnee-en-foret-de-meudon-de-gare-a-gare/,['RER C'],78 - Yvelines
498853,"15,14 km",+ 208 m,- 228 m,Moyenne,Chaville-Vélizy,Bellevue,Non,https://www.visorando.com/randonnee-gare-a-gare-de-viroflay-rive-gauche-a-be/,['RER C'],78 - Yvelines
7097434,"33,10 km",+ 713 m,- 712 m,Très difficile,Chaville-Vélizy,Chaville-Vélizy,Oui,https://www.visorando.com/randonnee-grand-parcours-sportif-dans-les-forets-d/,['RER C'],78 - Yvelines
